"MARKA","TSB_MODEL","SIFIR_MODEL","KAYNAK","MASTER_MODEL_ADI"
"BENTLEY","BENTAYGA DIESEL","","TSB",""
"BENTLEY","BENTAYGA EWB","","TSB",""
"BENTLEY","BENTAYGA SPEED","","TSB",""
"BENTLEY","BENTAYGA V8","","TSB",""
"BENTLEY","CONTINENTAL","","TSB",""
"BENTLEY","CONTINENTAL FLYING SPUR","","TSB",""
"BENTLEY","CONTINENTAL GTC","","TSB",""
"BENTLEY","CONTINENTAL GTC AZURE V8","","TSB",""
"BENTLEY","CONTINENTAL GTC MULLINER","","TSB",""
"BENTLEY","CONTINENTAL GTC SPEED","","TSB",""
"BENTLEY","CONTINENTAL GTC V8","","TSB",""
"BENTLEY","CONTINENTAL SUPERSPORTS","","TSB",""
"BENTLEY","FLYING SPUR","","TSB",""
"BENTLEY","FLYING SPUR AZURE HYBRID","","TSB",""
"BENTLEY","FLYING SPUR AZURE V8","","TSB",""
"BENTLEY","FLYING SPUR BLACK","","TSB",""
"BENTLEY","FLYING SPUR HYBRID","","TSB",""
"BENTLEY","FLYING SPUR MULLINER","","TSB",""
"BENTLEY","FLYING SPUR W12","","TSB",""
"BENTLEY","MULSANNE","","TSB",""
"BENTLEY","MULSANNE SPEED","","TSB",""
"BMC","BELDE","","TSB",""
"BMC","BELDE SB OTOBUS","","TSB",""
"BMC","CEKICI PRO","","TSB",""
"BMC","CEKICI PRO L","","TSB",""
"BMC","CEKICI TUGRA","","TSB",""
"BMC","KAMYON","","TSB",""
"BMC","KAMYON FATIH","","TSB",""
"BMC","KAMYON PRO","","TSB",""
"BMC","KAMYON TUGRA","","TSB",""
"BMC","KAMYON TUGRA4340 8x4 ALCAK TAVAN YATAKSIZ","","TSB",""
"BMC","LEVENT","","TSB",""
"BMC","LEVENT MIDIBUS XL (17+1)","","TSB",""
"BMC","LEVENT MINIBUS XL (14+1)","","TSB",""
"BMC","LEVENT MINIBUS XL (14+1) CIFT LASTIK","","TSB",""
"BMC","MEGASTAR","","TSB",""
"BMC","OTOBUS","","TSB",""
"BMC","OTOBUS (10M) BELEDIYE E6","","TSB",""
"BMC","OTOBUS (8.5M) BELEDIYE E6","","TSB",""
"BMC","OTOBUS HAWK","","TSB",""
"BMC","OTOBUS NEOCITY (10M) E6","","TSB",""
"BMC","OTOBUS NEOCITY (8.5M) E6","","TSB",""
"BMC","OTOBUS NEOCITY (8.5M) HALK E6","","TSB",""
"BMC","OTOBUS PROBUS","","TSB",""
"BMC","OTOBUS PROBUS LE (9M) BELEDIYE TIPI","","TSB",""
"BMC","OTOBUS PROBUS LE (9M) E6","","TSB",""
"BMC","OTOBUS PROCITY","","TSB",""
"BMC","OTOBUS PROCITY (10.6) BELEDIYE","","TSB",""
"BMC","OTOBUS PROCITY (10.7) BELEDIYE","","TSB",""
"BMC","OTOBUS PROCITY (12M) BELEDIYE E6","","TSB",""
"BMC","OTOBUS PROCITY (12M) BELEDIYE TIPI","","TSB",""
"BMC","OTOBUS PROCITY (12M) CNG E6","","TSB",""
"BMC","OTOBUS PROCITY (12M) HALK E6","","TSB",""
"BMC","OTOBUS PROCITY (12M) HALK TIPI","","TSB",""
"BMC","OTOBUS PROCITY TR (12M) BELEDIYE E6","","TSB",""
"BMC","OTOBUS PROCITY TR (18M)","","TSB",""
"BMC","OTOBUS PROCITY TR (18M) CNG","","TSB",""
"BMW","","1 Serisi","HER İKİSİ",""
"BMW","116d","","TSB",""
"BMW","116i","","TSB",""
"BMW","118d","","TSB",""
"BMW","118i","","TSB",""
"BMW","118iA","","TSB",""
"BMW","120","","TSB",""
"BMW","120d","","TSB",""
"BMW","120i","","TSB",""
"BMW","128Ti","","TSB",""
"BMW","1M","","TSB",""
"BMW","","2 Serisi Active Tourer","HER İKİSİ",""
"BMW","","2 Serisi Gran Coupe","HER İKİSİ",""
"BMW","216d","","TSB",""
"BMW","218d","","TSB",""
"BMW","218i","","TSB",""
"BMW","220","","TSB",""
"BMW","220d","","TSB",""
"BMW","220i","","TSB",""
"BMW","228i","","TSB",""
"BMW","230e","","TSB",""
"BMW","230i","","TSB",""
"BMW","","3 Serisi Sedan","HER İKİSİ",""
"BMW","316d","","TSB",""
"BMW","316i","","TSB",""
"BMW","318d","","TSB",""
"BMW","318i","","TSB",""
"BMW","320","","TSB",""
"BMW","320d","","TSB",""
"BMW","320i","","TSB",""
"BMW","328i","","TSB",""
"BMW","330d","","TSB",""
"BMW","330e","","TSB",""
"BMW","330i","","TSB",""
"BMW","340i","","TSB",""
"BMW","","4 Serisi Cabrio","SIFIR",""
"BMW","","4 Serisi Coupe","HER İKİSİ",""
"BMW","","4 Serisi Gran Coupe","HER İKİSİ",""
"BMW","418d","","TSB",""
"BMW","418i","","TSB",""
"BMW","420d","","TSB",""
"BMW","420i","","TSB",""
"BMW","428i","","TSB",""
"BMW","430d","","TSB",""
"BMW","430i","","TSB",""
"BMW","435d","","TSB",""
"BMW","435i","","TSB",""
"BMW","440i","","TSB",""
"BMW","","5 Serisi Sedan","HER İKİSİ",""
"BMW","520d","","TSB",""
