marka_kodu,tip_kodu,arac_yili,kasko_degeri,veri_yili,veri_ay
9,639,2016,2472395,2026,6
9,639,2015,2398224,2026,6
9,639,2014,2326276,2026,6
9,639,2013,2256489,2026,6
9,639,2012,2188793,2026,6
9,640,2012,2470797,2026,6
9,641,2013,2322386,2026,6
9,641,2012,2252714,2026,6
9,642,2012,2561936,2026,6
9,643,2013,2562923,2026,6
9,643,2012,2486034,2026,6
9,644,2012,8783940,2026,6
9,645,2013,9541952,2026,6
9,645,2012,9255694,2026,6
9,646,2012,9975011,2026,6
9,647,2013,10900049,2026,6
9,647,2012,10573048,2026,6
9,1001,2012,1527204,2026,6
9,1002,2016,2520790,2026,6
9,1002,2015,2445166,2026,6
9,1002,2014,2371810,2026,6
9,1002,2013,2300657,2026,6
9,1002,2012,2231637,2026,6
9,1003,2016,2033998,2026,6
9,1003,2015,1972979,2026,6
9,1003,2014,1913788,2026,6
9,1003,2013,1856375,2026,6
9,1003,2012,1800684,2026,6
9,1004,2016,2598197,2026,6
9,1004,2015,2520250,2026,6
9,1004,2014,2444643,2026,6
9,1004,2013,2371303,2026,6
9,1004,2012,2300164,2026,6
9,1005,2013,1305518,2026,6
9,1005,2012,1266352,2026,6
9,1006,2013,1293832,2026,6
9,1006,2012,1255017,2026,6
9,1007,2013,1595687,2026,6
9,1007,2012,1547816,2026,6
9,1008,2013,1684011,2026,6
9,1008,2012,1633491,2026,6
9,1009,2013,1762280,2026,6
9,1009,2012,1709412,2026,6
9,1010,2013,1517268,2026,6
9,1010,2012,1471750,2026,6
9,1011,2012,1288497,2026,6
9,1012,2013,1623462,2026,6
9,1012,2012,1574758,2026,6
9,1013,2016,1315986,2026,6
9,1013,2015,1276507,2026,6
9,1013,2014,1238212,2026,6
9,1013,2013,1201065,2026,6
9,1013,2012,1165033,2026,6
9,1014,2013,1265646,2026,6
9,1014,2012,1227678,2026,6
9,1015,2016,1415048,2026,6
9,1015,2015,1372596,2026,6
9,1015,2014,1331419,2026,6
9,1015,2013,1291476,2026,6
9,1015,2012,1252731,2026,6
9,1016,2016,2962017,2026,6
9,1016,2015,2873156,2026,6
9,1016,2014,2786961,2026,6
9,1016,2013,2703352,2026,6
9,1016,2012,2622252,2026,6
9,1017,2016,1325096,2026,6
9,1017,2015,1285343,2026,6
9,1017,2014,1246783,2026,6
9,1017,2013,1209378,2026,6
9,1017,2012,1173097,2026,6
9,1018,2013,1139082,2026,6
9,1018,2012,1104909,2026,6
9,1019,2016,1418292,2026,6
9,1019,2015,1375743,2026,6
9,1019,2014,1334472,2026,6
9,1019,2013,1294436,2026,6
9,1019,2012,1255603,2026,6
9,1020,2016,3188607,2026,6
9,1020,2015,3092950,2026,6
9,1020,2014,3000160,2026,6
9,1020,2013,2910156,2026,6
9,1020,2012,2822852,2026,6
9,1021,2012,3475379,2026,6
9,1022,2012,705113,2026,6
9,1023,2015,967363,2026,6
9,1023,2014,938342,2026,6
9,1023,2013,910192,2026,6
9,1023,2012,882886,2026,6
9,1024,2015,1015732,2026,6
9,1024,2014,985259,2026,6
9,1024,2013,955702,2026,6
9,1024,2012,927031,2026,6
9,1025,2015,893859,2026,6
9,1025,2014,867043,2026,6
9,1025,2013,841031,2026,6
9,1025,2012,815801,2026,6
9,1026,2016,1431829,2026,6
9,1026,2015,1388874,2026,6
9,1026,2014,1347208,2026,6
9,1026,2013,1306792,2026,6
9,1026,2012,1267588,2026,6
9,1027,2013,1372131,2026,6
9,1027,2012,1330968,2026,6
9,1028,2016,1604805,2026,6
9,1028,2015,1556662,2026,6
9,1028,2014,1509961,2026,6
9,1028,2013,1464663,2026,6
9,1028,2012,1420723,2026,6
9,1029,2016,3784470,2026,6
9,1029,2015,3670936,2026,6
9,1029,2014,3560808,2026,6
9,1029,2013,3453983,2026,6
9,1029,2012,3350365,2026,6
9,1030,2016,4910817,2026,6
9,1030,2015,4763491,2026,6
9,1030,2014,4620588,2026,6
9,1030,2013,4481969,2026,6
9,1030,2012,4347511,2026,6
9,1031,2013,1573764,2026,6
9,1031,2012,1526552,2026,6
9,1032,2016,1815101,2026,6
9,1032,2015,1760648,2026,6
9,1032,2014,1707829,2026,6
9,1032,2013,1656594,2026,6
9,1032,2012,1606896,2026,6
9,1033,2016,3784470,2026,6
9,1033,2015,3670936,2026,6
9,1033,2014,3560808,2026,6
9,1033,2013,3453983,2026,6
9,1033,2012,3350365,2026,6
9,1034,2016,4891996,2026,6
9,1034,2015,4745237,2026,6
9,1034,2014,4602880,2026,6
9,1034,2013,4464793,2026,6
9,1034,2012,4330850,2026,6
9,1036,2012,1611393,2026,6
9,1037,2016,1920009,2026,6
9,1037,2015,1862408,2026,6
9,1037,2014,1806536,2026,6
9,1037,2013,1752340,2026,6
9,1037,2012,1699771,2026,6
9,1038,2013,1577107,2026,6
9,1038,2012,1529793,2026,6
9,1039,2016,2006088,2026,6
9,1039,2015,1945905,2026,6
9,1039,2014,1887528,2026,6
9,1039,2013,1830903,2026,6
