"SF_MARKA","SF_MODEL","SF_VERSIYON","TSB_TIP_ADI"
"FORD","Yeni Transit Kamyonet","Trend Tek Kabin (Jumbo Şasi), 350ED, 2.0L EcoBlue Upgrade 165PS, 10 İleri Otomatik, Dizel","(TSB'de bulunamadı)"
"FORD","Yeni Transit Kamyonet","Trend Çift Kabin (Uzun Şasi, Kasasız), 350L, 2.0L EcoBlue Upgrade 165PS, 6 İleri Manuel, Dizel","(TSB'de bulunamadı)"
"FORD","Yeni Transit Kamyonet","Trend Tek Kabin (Jumbo Şasi), 350ED, Box Van, 2.0L EcoBlue Upgrade 165PS, 6 İleri Manuel, Dizel","(TSB'de bulunamadı)"
"FORD","Yeni Transit Kamyonet","Trend Çift Kabin (Jumbo Şasi, Kasasız), 350ED, 2.0L EcoBlue Upgrade 165PS, 6 İleri Manuel, Dizel","(TSB'de bulunamadı)"
"FORD","Yeni Transit Kamyonet","Trend Tek Kabin (Jumbo Şasi), 350ED, Luton Box Van, 2.0L EcoBlue Upgrade 165PS, 6 İleri Manuel, Dizel","(TSB'de bulunamadı)"
"FORD","Yeni Transit Kamyonet","Trend Çift Kabin (Jumbo Şasi, Kasasız), 350E, 2.0L EcoBlue Upgrade 165PS, 6 İleri Manuel, Dizel","(TSB'de bulunamadı)"
"FORD","Yeni Transit Kamyonet","Trend Tek Kabin (Ambulans, Jumbo Şasi), 425ED, 2.0L EcoBlue Upgrade 165PS, 6 İleri Manuel, Dizel","(TSB'de bulunamadı)"
"FORD","Yeni Transit Kamyonet","Trend Tek Kabin (Jumbo Şasi), 500ED, 2.0L EcoBlue Upgrade 165PS, 10 İleri Otomatik, Dizel","(TSB'de bulunamadı)"
"FORD","Transit Custom Van","Trend 320S 2.0L EcoBlue Upgrade 136PS 6 ileri Manuel Dizel Euro 6.2","(TSB'de bulunamadı)"
"FORD","Transit Custom Van","Trend 320L 2.0L EcoBlue Upgrade 136PS 6 İleri Manuel Dizel Euro 6.2","(TSB'de bulunamadı)"
"FORD","Transit Custom Van","Delux 320L 2.0L EcoBlue Upgrade 150PS 6 İleri Manuel Dizel Euro 6.2","(TSB'de bulunamadı)"
"FORD","Transit Custom Van","Delux 320S 2.0L EcoBlue Upgrade 136PS 8 İleri Otomatik Dizel Euro 6.2","(TSB'de bulunamadı)"
"FORD","Transit Custom Van","Delux 320S, 1+1 2.0L EcoBlue Upgrade 170PS, 8 İleri Otomatik, Dizel","(TSB'de bulunamadı)"
"FORD","Transit Custom Van","Delux Van, 320L, 2.0L EcoBlue Upgrade 170PS, 8 İleri Otomatik, Dizel","(TSB'de bulunamadı)"
"FORD","Transit Custom Van","Delux Kombi Van, 320S, 2.0L EcoBlue Upgrade 150PS, 6 İleri Manuel, Dizel","(TSB'de bulunamadı)"
"FORD","Transit Custom Van","Delux Kombi, 320S, 2.0L EcoBlue Upgrade 150PS, 6 İleri Manuel, Dizel","(TSB'de bulunamadı)"
"FORD","Transit Custom Van","Delux 320L Kombi 2.0L EcoBlue Upgrade 170PS 8 İleri Otomatik Dizel Euro 6.2","(TSB'de bulunamadı)"
"FORD","Yeni Transit Van","Trend Van (Orta Şasi), 350MF, 10m3, 2.0L EcoBlue Upgrade 165PS, 8 İleri Otomatik, Dizel","(TSB'de bulunamadı)"
"FORD","Yeni Transit Van","Trend Van (Uzun Şasi), 350LF, 11.5m3, 2.0L EcoBlue Upgrade 165PS, 8 İleri Otomatik, Dizel","(TSB'de bulunamadı)"
"FORD","Yeni Transit Van","Trend Van (Uzun Şasi), 350LF, Yüksek Tavan, 13m3, 2.0L EcoBlue Upgrade 165PS, 8 İleri Otomatik, Dizel","(TSB'de bulunamadı)"
"FORD","Yeni Transit Van","Deluxe Van (Uzun Şasi), 350L, 11m3, 2.0L EcoBlue Upgrade 165PS, 6 İleri Manuel, Dizel","(TSB'de bulunamadı)"
"FORD","Yeni Transit Van","Trend Çift Kabin Van (Uzun Şasi), 350LF, 5+1, 7.6m3, 2.0L EcoBlue Upgrade 165PS, 8 İleri Otomatik, Dizel","(TSB'de bulunamadı)"
"FORD","Yeni Transit Van","Trend Van (Uzun Şasi), 350L, FRIGO, 2.0L EcoBlue Upgrade 165PS, 6 İleri Manuel, Dizel","(TSB'de bulunamadı)"
"FORD","Yeni Transit Van","Trend Çift Kabin Van (Uzun Şasi), 350L, 5+1, 7.2m3, 2.0L EcoBlue Upgrade 165PS, 6 İleri Manuel, Dizel","(TSB'de bulunamadı)"
"FORD","Yeni Transit Van","Trend Camlı Van (Jumbo Şasi, 1+1), 440E, Camlı Van, 2.0L EcoBlue Upgrade 165PS, 6 İleri Manuel, Dizel","(TSB'de bulunamadı)"
"FORD","Yeni Transit Van","Deluxe Çift Kabin Van (Uzun Şasi), 350LF, 5+1, 7.6m3, 2.0L EcoBlue Upgrade 165PS, 8 İleri Otomatik, Dizel","(TSB'de bulunamadı)"
"FORD","Yeni Transit Van","Deluxe Çift Kabin Van (Uzun Şasi), 350L, 5+1, 7.2m3, 2.0L EcoBlue Upgrade 165PS, 6 İleri Manuel, Dizel","(TSB'de bulunamadı)"
"FORD","Yeni Transit Van","Deluxe Camlı Van (Uzun Şasi, 1+1), 410L, Camlı Van, 2.0L EcoBlue Upgrade 165PS, 6 İleri Manuel, Dizel","(TSB'de bulunamadı)"
"FORD","Yeni Transit Van","Trend Van (Jumbo Şasi), 350E, 15.1m3, 2.0L EcoBlue Upgrade 165PS, 10 İleri Otomatik, Dizel","(TSB'de bulunamadı)"
"FORD","Yeni Transit Van","Deluxe Camlı Van (Jumbo Şasi, 1+1), 440E, Camlı Van, 2.0L EcoBlue Upgrade 165PS, 6 İleri Manuel, Dizel","(TSB'de bulunamadı)"
"FORD","Yeni Transit Van","Deluxe Camlı Van (Jumbo Şasi, 2+1), 440E, Camlı Van, 2.0L EcoBlue Upgrade 165PS, 6 İleri Manuel, Dizel","(TSB'de bulunamadı)"
"FORD","Yeni Transit Van","Trend Van (Jumbo Şasi), 500ED, 15.1m3, 2.0L EcoBlue Upgrade 165PS, 10 İleri Otomatik, Dizel","(TSB'de bulunamadı)"
